,x,y,z,t
0,1.0,0.0,0.0,0.0
1,0.9,0.28,0.0,0.01
2,0.838,0.5292,0.0025200000000000005,0.02
3,0.80712,0.7585268824,0.006887496,0.03
4,0.80226068824,0.9768796232182848,0.01282605161322688,0.04
5,0.8197225817378284,1.1916409213233556,0.020321144758714826,0.05
6,0.8569144156963812,1.4090802579842592,0.029547397290465353,0.060000000000000005
7,0.912130999925169,1.6346722958925581,0.04083407855545182,0.07
8,0.9843851295219079,1.8733497926236418,0.05465552255199761,0.08
9,1.0732815958320814,2.129706110127075,0.07163901873312764,0.09
10,1.1789240472615807,2.4081590074552897,0.09258638862554945,0.09999999999999999
11,1.3018475432809515,2.7130846274139815,0.11850778389738768,0.10999999999999999
12,1.4429712516942546,3.048928302585243,0.15066780189591275,0.11999999999999998
13,1.6035669567833535,3.4202968769668645,0.19064515273642973,0.12999999999999998
14,1.7852399488017046,3.832035533422544,0.24040803253972523,0.13999999999999999
15,1.9899195072637885,4.289290503515769,0.302408180866935,0.15
16,2.2198566068889867,4.797557381131839,0.37969739116315687,0.16
17,2.4776266843132717,5.362712919625516,0.4760710218931514,0.17
18,2.7661353078444963,5.99102599936227,0.5962438009424245,0.18000000000000002
19,3.0886243769962736,6.6891407152664035,0.7460638517211298,0.19000000000000003
20,3.4486760108232866,7.4640210236804805,0.932771246418534,0.20000000000000004
21,3.850210512109006,8.322841838263102,1.1653072490005152,0.21000000000000005
22,4.297473644724415,9.272805581071607,1.4546793203901807,0.22000000000000006
23,4.795006838359135,10.320855685374703,1.8143842478195296,0.23000000000000007
24,5.347591723060692,11.473249194504456,2.26088640376857,0.24000000000000007
25,5.960157470205068,12.734939410820672,2.8141386239595225,0.25000000000000006
26,6.637635664266629,14.108707014952035,3.4981173699407195,0.26000000000000006
27,7.38474279933517,15.59396564467208,4.341318808666978,0.2700000000000001
28,8.20566508386886,17.185158743919988,5.377124562178247,0.2800000000000001
29,9.103614449873973,18.869664547249272,6.643891144510773,0.2900000000000001
30,10.080219459611502,20.625145713475913,8.184542222356617,0.3000000000000001
31,11.134712084997943,22.416335887254263,10.045347714876801,0.3100000000000001
32,12.262874465223575,24.191371366192694,12.27346623686525,0.3200000000000001
33,13.455724155320487,25.87798274563498,14.912731305934429,0.3300000000000001
34,14.697950014351937,27.380189693117707,17.997128446323586,0.34000000000000014
35,15.966173982228515,28.576604857145718,21.541531616017473,0.35000000000000014
36,17.227217069720236,29.322009107348133,25.529681222629524,0.36000000000000015
37,18.436696273483026,29.454356194366323,29.900255881485403,0.37000000000000016
38,19.538462265571354,28.809468227134197,34.53332591551094,0.38000000000000017
39,20.465562861727637,27.244862126173956,39.24136430290103,0.3900000000000002
40,21.14349278817227,24.671805026986195,43.7707423065135,0.4000000000000002
41,21.496324012053662,21.09060121449742,47.82000382826589,0.4100000000000002
42,21.455751732298037,16.619122960226967,51.07850769933729,0.4200000000000002
43,20.97208885509093,11.501264415135601,53.28217192311993,0.4300000000000002
44,20.025006411095397,6.084052210770682,54.27336939777126,0.4400000000000002
45,18.630910991062926,0.7619677823485027,54.044411392425246,0.45000000000000023
46,16.844016670191483,-4.0979630001439835,52.74518862793717,0.46000000000000024
47,14.749818703157935,-8.225067067702607,50.64838869364298,0.47000000000000025
48,12.452330126071882,-11.48341266852444,48.08458251444655,0.48000000000000026
49,10.05875584661225,-13.86957706098139,45.372374525504156,0.49000000000000027
50,7.665922555852886,-15.478326028651104,42.767337644635525,0.5000000000000002
51,5.351497697402486,-16.455595435763662,40.440318821146434,0.5100000000000002
52,3.170788384085871,-16.956782856669204,38.481289508410434,0.5200000000000002
53,1.1580312600103637,-17.1195545383376,36.917458087052225,0.5300000000000002
54,-0.6697273198244327,-17.05162594520061,35.734742744935694,0.5400000000000003
55,-2.3079171823620506,-16.82930800046763,34.89601566916669,0.5500000000000003
