,x,f(x),f_ev,dfdx_ev,dfdx[x],f(x+dx)
0,1.0,2.0,-1.5,1.985,-1.5194019999999995,1.98490299
1,1.01,1.98490299,-1.5376159999999999,1.96952683,-1.5194019999999995,1.9696179
2,1.02,1.9696179,-1.5546540000000029,1.95407136,-1.5376159999999999,1.95415655
3,1.03,1.95415655,-1.5705279999999995,1.93845127,-1.5546540000000029,1.93853064
4,1.04,1.93853064,-1.5852500000000003,1.92267814,-1.5705279999999995,1.92275175
5,1.05,1.92275175,-1.5988320000000016,1.90676343,-1.5852500000000003,1.9068313399999999
6,1.06,1.9068313399999999,-1.6112860000000016,1.8907184799999999,-1.5988320000000016,1.8907807499999998
7,1.07,1.8907807499999998,-1.6226240000000018,1.8745545099999998,-1.6112860000000016,1.8746111999999997
8,1.08,1.8746111999999997,-1.6328580000000006,1.8582826199999998,-1.6226240000000018,1.8583337899999997
9,1.09,1.8583337899999997,-1.6419999999999977,1.8419137899999998,-1.6328580000000006,1.8419594999999997
10,1.1,1.8419594999999997,-1.6500620000000001,1.8254588799999998,-1.6419999999999977,1.8254991899999997
11,1.11,1.8254991899999997,-1.6570560000000008,1.8089286299999998,-1.6500620000000001,1.8089635999999998
12,1.12,1.8089635999999998,-1.6629939999999976,1.7923336599999997,-1.6570560000000008,1.7923633499999998
13,1.13,1.7923633499999998,-1.6678879999999978,1.7756844699999998,-1.6629939999999994,1.77570894
14,1.1400000000000001,1.77570894,-1.6717500000000012,1.75899144,-1.6678880000000014,1.7590107499999998
15,1.15,1.7590107499999998,-1.6745920000000005,1.7422648299999999,-1.671750000000003,1.74227904
16,1.16,1.74227904,-1.676426000000001,1.72551478,-1.6745920000000005,1.72552395
17,1.17,1.72552395,-1.677264000000001,1.7087513099999998,-1.676426000000001,1.7087554999999999
18,1.18,1.7087554999999999,-1.6771179999999983,1.69198432,-1.677264000000001,1.69198359
19,1.19,1.69198359,-1.6759999999999984,1.67522359,-1.6771179999999983,1.675218
20,1.2,1.675218,-1.673922000000001,1.65847878,-1.6759999999999984,1.6584683900000001
21,1.21,1.6584683900000001,-1.6708960000000008,1.64175943,-1.673922000000001,1.6417443
22,1.22,1.6417443,-1.666934000000003,1.62507496,-1.6708960000000008,1.6250551500000001
23,1.23,1.6250551500000001,-1.6620480000000004,1.60843467,-1.666934000000003,1.60841024
24,1.24,1.60841024,-1.65625,1.59184774,-1.6620480000000004,1.59181875
25,1.25,1.59181875,-1.6495519999999981,1.5753232300000002,-1.65625,1.57528974
26,1.26,1.57528974,-1.6419659999999983,1.5588700800000002,-1.6495519999999981,1.5588321500000002
27,1.27,1.5588321500000002,-1.6335040000000003,1.5424971100000002,-1.6419659999999983,1.5424548000000002
28,1.28,1.5424548000000002,-1.6241780000000006,1.5262130200000001,-1.6335040000000003,1.5261663900000002
29,1.29,1.5261663900000002,-1.613999999999999,1.5100263900000002,-1.6241780000000006,1.5099755000000001
30,1.3,1.5099755000000001,-1.6029820000000008,1.4939456800000002,-1.613999999999999,1.4938905900000001
31,1.31,1.4938905900000001,-1.5911359999999988,1.47797923,-1.6029820000000008,1.4779200000000001
32,1.32,1.4779200000000001,-1.578474,1.4621352600000002,-1.5911359999999988,1.4620719500000001
33,1.33,1.4620719500000001,-1.5650079999999988,1.4464218700000002,-1.578474,1.4463545400000002
34,1.34,1.4463545400000002,-1.5507499999999972,1.4308470400000002,-1.5650079999999988,1.4307757500000002
35,1.35,1.4307757500000002,-1.5357120000000002,1.4154186300000002,-1.5507499999999972,1.4153434400000002
36,1.3599999999999999,1.4153434400000002,-1.5199059999999989,1.4001443800000002,-1.5357119999999966,1.4000653500000002
37,1.37,1.4000653500000002,-1.503344000000002,1.3850319100000001,-1.5199059999999989,1.3849491000000003
38,1.38,1.3849491000000003,-1.4860380000000006,1.3700887200000003,-1.503344000000002,1.3700021900000003
39,1.3900000000000001,1.3700021900000003,-1.468,1.3553221900000003,-1.4860380000000006,1.3552320000000004
40,1.4,1.3552320000000004,-1.4492420000000017,1.3407395800000004,-1.4680000000000035,1.3406457900000004
41,1.4100000000000001,1.3406457900000004,-1.4297760000000004,1.3263480300000003,-1.4492419999999981,1.3262507000000003
42,1.42,1.3262507000000003,-1.4096140000000013,1.3121545600000004,-1.4297759999999968,1.3120537500000002
43,1.43,1.3120537500000002,-1.388767999999999,1.2981660700000002,-1.4096140000000013,1.2980618400000001
